Sample	Unique Reads	Duplicate Reads
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG425 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG425_1	23235324	11628816
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG424 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG424_2	33899292	4130477
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG424 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG424_1	33173053	4856716
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG423 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG423_2	25412429	11547206
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG423 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG423_1	24329465	12630170
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG422 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG422_2	30738494	7094344
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG422 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG422_1	30203582	7629256
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG421 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG421_2	29803947	6810790
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG421 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG421_1	29046408	7568329
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG420 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG420_2	25355137	6821082
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG420 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG420_1	24674666	7501553
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG419 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG419_2	27162394	6598500
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG419 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG419_1	26691044	7069850
