Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1668 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1668_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1668 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1668_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1671 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1671_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1671 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1671_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1677 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1677_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1677 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1677_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1690 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1690_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1690 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1690_2	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693_1	0.0	0.0
/ | scratch | karcher | fastqc | 230727_PRISMA_Batch2_P3_for_Q | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693 | AAAWNKKHV_230321_MG_Batch2_P3_23s002005-1-1_Gross_lane1693_2	0.0	0.0
